timestamp,elapsed_s,rss_mb,vsz_mb,sys_used_mb,sys_avail_mb
09:48:11,0,2,8,3126,124814
09:48:16,5,2,8,68747,59191
09:48:21,10,2,8,68770,59169
09:48:26,15,2,8,68779,59160
09:48:31,20,2,8,68785,59154
09:48:36,25,2,8,68767,59172
09:48:41,30,2,8,68809,59130
09:48:46,35,2,8,68812,59127
09:48:51,40,2,8,68828,59111
09:48:56,45,2,8,68726,59214
09:49:01,50,2,8,68776,59164
09:49:07,55,2,8,68796,59144
09:49:12,61,2,8,68822,59118
09:49:17,66,2,8,68753,59186
09:49:22,71,2,8,68776,59163
09:49:27,76,2,8,77754,50185
09:49:32,81,2,8,78092,49848
09:49:37,86,2,8,78127,49812
09:49:42,91,2,8,78094,49845
09:49:47,96,2,8,78087,49852
09:49:52,101,2,8,78091,49849
09:49:57,106,2,8,78165,49774
09:50:02,111,2,8,78220,49720
09:50:07,116,2,8,78225,49714
09:50:12,121,2,8,78340,49599
09:50:17,126,2,8,78249,49690
09:50:22,131,2,8,78244,49695
09:50:27,136,2,8,78266,49673
09:50:32,141,2,8,78282,49658
09:50:37,146,2,8,78289,49650
09:50:42,151,2,8,78281,49659
09:50:47,156,2,8,78293,49646
09:50:53,161,2,8,78302,49637
09:50:58,167,2,8,78302,49638
09:51:03,172,2,8,78319,49620
09:51:08,177,2,8,78318,49622
09:51:13,182,2,8,78338,49601
09:51:18,187,2,8,78324,49616
09:51:23,192,2,8,78358,49581
09:51:28,197,2,8,78353,49586
09:51:33,202,2,8,78373,49566
09:51:38,207,2,8,78381,49558
09:51:43,212,2,8,78394,49545
09:51:48,217,2,8,78406,49533
09:51:53,222,2,8,78416,49524
09:51:58,227,2,8,78418,49521
09:52:03,232,2,8,78433,49506
09:52:08,237,2,8,78429,49510
09:52:13,242,2,8,78431,49508
09:52:18,247,2,8,78462,49478
09:52:23,252,2,8,78460,49479
09:52:28,257,2,8,78468,49472
09:52:33,262,2,8,78476,49464
09:52:38,267,2,8,78489,49451
09:52:43,272,2,8,78484,49455
09:52:48,277,2,8,78502,49438
09:52:53,282,2,8,78495,49445
09:52:59,287,2,8,78507,49432
09:53:04,293,2,8,78523,49416
09:53:09,298,2,8,78541,49399
09:53:14,303,2,8,78539,49401
09:53:19,308,2,8,78544,49396
09:53:24,313,2,8,78555,49384
09:53:29,318,2,8,78676,49264
09:53:34,323,2,8,78704,49236
09:53:39,328,2,8,78731,49209
09:53:44,333,2,8,78725,49214
09:53:49,338,2,8,78730,49209
09:53:54,343,2,8,78897,49042
09:53:59,348,2,8,78901,49038
09:54:04,353,2,8,78907,49033
09:54:09,358,2,8,78903,49037
09:54:14,363,2,8,78918,49021
09:54:19,368,2,8,78968,48971
09:54:24,373,2,8,78927,49012
09:54:29,378,2,8,78943,48996
09:54:34,383,2,8,78964,48975
09:54:39,388,2,8,78967,48968
09:54:44,393,2,8,78905,48979
09:54:49,398,2,8,79001,48938
09:54:55,404,2,8,78970,48969
09:55:00,409,2,8,79004,48935
09:55:05,414,2,8,79006,48934
09:55:10,419,2,8,78998,48940
09:55:15,424,2,8,79031,48908
09:55:20,429,2,8,79117,48823
09:55:25,434,2,8,79187,48753
09:55:30,439,2,8,79276,48664
09:55:35,444,2,8,79138,48802
09:55:40,449,2,8,79163,48776
09:55:45,454,2,8,79195,48744
09:55:50,459,2,8,79150,48790
09:55:55,464,2,8,79158,48781
09:56:00,469,2,8,79213,48726
09:56:05,474,2,8,79245,48695
09:56:10,479,2,8,79283,48656
09:56:15,484,2,8,79278,48662
09:56:20,489,2,8,79250,48690
09:56:25,494,2,8,79197,48742
09:56:30,499,2,8,79199,48740
09:56:35,504,2,8,79214,48725
09:56:40,509,2,8,79213,48727
09:56:45,514,2,8,79250,48699
09:56:51,519,2,8,79268,48671
09:56:56,525,2,8,79281,48658
09:57:01,530,2,8,79263,48676
09:57:06,535,2,8,79279,48661
09:57:11,540,2,8,79303,48637
09:57:16,545,2,8,79294,48646
09:57:21,550,2,8,79286,48654
09:57:26,555,2,8,79301,48638
09:57:31,560,2,8,79317,48623
09:57:36,565,2,8,79341,48599
09:57:41,570,2,8,79317,48623
09:57:46,575,2,8,79335,48605
09:57:51,580,2,8,79359,48581
09:57:56,585,2,8,79420,48519
09:58:01,590,2,8,79374,48566
09:58:06,595,2,8,79364,48576
09:58:11,600,2,8,79342,48597
09:58:16,605,2,8,79337,48602
09:58:21,610,2,8,79358,48581
09:58:26,615,2,8,79357,48583
09:58:31,620,2,8,79346,48593
09:58:36,625,2,8,79332,48607
09:58:41,630,2,8,79334,48606
09:58:46,635,2,8,79330,48610
09:58:52,640,2,8,79335,48604
09:58:57,646,2,8,79337,48603
09:59:02,651,2,8,79330,48609
09:59:07,656,2,8,79344,48595
09:59:12,661,2,8,79347,48592
09:59:17,666,2,8,79353,48586
09:59:22,671,2,8,79358,48582
09:59:27,676,2,8,79351,48591
09:59:32,681,2,8,79360,48580
09:59:37,686,2,8,79367,48573
09:59:42,691,2,8,79365,48574
09:59:47,696,2,8,79356,48584
09:59:52,701,2,8,79354,48585
09:59:57,706,2,8,79251,48689
10:00:02,711,2,8,79276,48664
10:00:07,716,2,8,79275,48665
10:00:12,721,2,8,79277,48662
10:00:17,726,2,8,79267,48672
10:00:22,731,2,8,79277,48663
10:00:27,736,2,8,79238,48702
10:00:32,741,2,8,79236,48703
10:00:37,746,2,8,79250,48689
10:00:42,751,2,8,79247,48692
10:00:47,756,2,8,79249,48690
10:00:53,761,2,8,79258,48681
10:00:58,767,2,8,79268,48671
10:01:03,772,2,8,79270,48669
10:01:08,777,2,8,79266,48673
10:01:13,782,2,8,79279,48661
