2026-09-02T09:32:33+10:00 attempt=1 batch=512 guard llama-cli=0 llama-server=0
command: timeout -k 30 2400 /home/user/source/llamacpp-master/build-hq38/bin/llama-cli -m /mnt/ssd2/models/qwen38-flash-next/Qwen3.8-Flash-Next-IQ4_XS-PLE.gguf -f /home/user/source/haloq38flash/results/filler/filler-128k.txt -c 139264 -md /mnt/ssd2/models/qwen38-flash-next/mtp-Qwen3.8-Flash-Next-Q8_0.gguf --spec-type draft-mtp --spec-draft-adaptive --spec-draft-n-min 0 --spec-draft-n-max 7 --spec-draft-p-min 0.75 -dev Vulkan0 -ngl 999 -fa on -ub 2048 -ctk q8_0 -ctv q8_0 -t 4 -n 128 --temp 0 --reasoning off -st --simple-io
2026-09-02T09:32:33+10:00 PID=206158 oom_score_adj=500
2026-09-02T09:32:33+10:00 PID=206158 VmRSS=30840kB VmSwap=0kB
2026-09-02T09:33:03+10:00 PID=206158 VmRSS=492512kB VmSwap=0kB
2026-09-02T09:33:33+10:00 PID=206158 VmRSS=798596kB VmSwap=0kB
2026-09-02T09:34:03+10:00 PID=206158 VmRSS=800468kB VmSwap=0kB
2026-09-02T09:34:33+10:00 PID=206158 VmRSS=802288kB VmSwap=0kB
2026-09-02T09:35:03+10:00 PID=206158 VmRSS=804856kB VmSwap=0kB
2026-09-02T09:35:33+10:00 PID=206158 VmRSS=806680kB VmSwap=0kB
2026-09-02T09:36:03+10:00 PID=206158 VmRSS=808508kB VmSwap=0kB
2026-09-02T09:36:33+10:00 PID=206158 VmRSS=809724kB VmSwap=0kB
2026-09-02T09:37:03+10:00 PID=206158 VmRSS=811804kB VmSwap=0kB
2026-09-02T09:37:33+10:00 PID=206158 VmRSS=813376kB VmSwap=0kB
2026-09-02T09:38:03+10:00 PID=206158 VmRSS=814912kB VmSwap=0kB
2026-09-02T09:38:33+10:00 PID=206158 VmRSS=816676kB VmSwap=0kB
2026-09-02T09:39:03+10:00 PID=206158 VmRSS=837144kB VmSwap=0kB
2026-09-02T09:39:33+10:00 PID=206158 VmRSS=837144kB VmSwap=0kB
2026-09-02T09:40:03+10:00 PID=206158 VmRSS=837144kB VmSwap=0kB
2026-09-02T09:40:33+10:00 PID=206158 VmRSS=837144kB VmSwap=0kB
2026-09-02T09:41:03+10:00 PID=206158 VmRSS=837144kB VmSwap=0kB
2026-09-02T09:41:33+10:00 PID=206158 VmRSS=837144kB VmSwap=0kB
2026-09-02T09:42:03+10:00 PID=206158 VmRSS=837144kB VmSwap=0kB
2026-09-02T09:42:33+10:00 PID=206158 VmRSS=837144kB VmSwap=0kB
2026-09-02T09:43:03+10:00 PID=206158 VmRSS=837144kB VmSwap=0kB
2026-09-02T09:43:33+10:00 PID=206158 VmRSS=837144kB VmSwap=0kB
2026-09-02T09:44:03+10:00 PID=206158 VmRSS=837144kB VmSwap=0kB
2026-09-02T09:44:33+10:00 PID=206158 VmRSS=837144kB VmSwap=0kB
2026-09-02T09:45:03+10:00 PID=206158 VmRSS=1132116kB VmSwap=0kB
2026-09-02T09:45:33+10:00 attempt=1 exit=0 swap_killed=0
2026-09-02T09:45:33+10:00 RESULT=completed
