0.00.036.296 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.036.582 W srv  llama_server: -----------------
0.00.036.583 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.036.583 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.036.583 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.036.583 W srv  llama_server: -----------------
0.00.037.819 I srv    load_model: loading model '/mnt/ssd2/models/qwen38-flash-next/Qwen3.8-Flash-Next-IQ4_XS-PLE.gguf'
0.28.262.833 I cmn          init: llama threadpool init, n_threads = 16
0.28.603.046 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 257024, kv_unified = 'false'
0.28.605.876 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.28.605.922 I srv  llama_server: model loaded
0.28.605.927 I srv  llama_server: listening on http://127.0.0.1:18080
0.30.336.635 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.30.336.808 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.34.103.701 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2048, progress = 0.01, t =   3.77 s / 543.70 tokens per second
0.38.713.878 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.02, t =   8.38 s / 488.96 tokens per second
0.43.184.911 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6144, progress = 0.02, t =  12.85 s / 478.21 tokens per second
0.47.693.036 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.03, t =  17.36 s / 471.99 tokens per second
0.52.311.956 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.04, t =  21.98 s / 465.98 tokens per second
0.57.002.859 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.05, t =  26.67 s / 460.81 tokens per second
1.02.024.486 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.06, t =  31.69 s / 452.42 tokens per second
1.06.976.585 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.06, t =  36.64 s / 447.16 tokens per second
1.12.016.028 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18432, progress = 0.07, t =  41.68 s / 442.24 tokens per second
1.17.091.026 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20480, progress = 0.08, t =  46.75 s / 438.04 tokens per second
1.22.274.694 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22528, progress = 0.09, t =  51.94 s / 433.75 tokens per second
